Time,S(t),I_h(t),R_h(t),S_v(t),I_v(t)
4.114114114,2.8028338,160.24231,38.64436,70.396225,71.61371
4.144144144,2.7920945,160.45903,39.02827,70.30814,71.88223
4.174174174,2.7816408,160.67172,39.412685,70.221634,72.14564
4.204204204,2.7714636,160.88046,39.7976,70.13667,72.40402
4.234234234,2.7615545,161.08533,40.183,70.05324,72.65747
4.264264264,2.7519045,161.2864,40.56888,69.971306,72.906075
4.294294294,2.7425058,161.48376,40.955223,69.89086,73.14992
4.324324324,2.7333505,161.67747,41.34203,69.81188,73.38909
4.354354354,2.7244313,161.8676,41.729286,69.73434,73.62367
4.384384384,2.7157407,162.05421,42.116985,69.65822,73.85375
4.414414414,2.7072718,162.23738,42.50512,69.583496,74.07941
4.444444444,2.699018,162.41718,42.89368,69.51015,74.30072
4.474474474,2.6909728,162.59366,43.28266,69.438156,74.51778
4.504504505,2.6831298,162.76689,43.67205,69.3675,74.730644
4.534534535,2.6754835,162.93694,44.061844,69.29816,74.93941
4.564564565,2.6680274,163.10385,44.45203,69.2301,75.14414
4.594594595,2.6607566,163.2677,44.842606,69.163315,75.344925
4.624624625,2.653665,163.42854,45.233562,69.09778,75.541824
4.654654655,2.6467483,163.58644,45.62489,69.03347,75.73492
4.684684685,2.6400006,163.74144,46.016582,68.97037,75.92427
4.714714715,2.6334178,163.8936,46.408634,68.908455,76.109955
4.744744745,2.626995,164.04297,46.80104,68.8477,76.29204
4.774774775,2.6207275,164.1896,47.193794,68.7881,76.4706
4.804804805,2.6146111,164.33356,47.586884,68.72962,76.64569
4.834834835,2.6086416,164.47488,47.98031,68.67225,76.81738
4.864864865,2.6028152,164.61363,48.374058,68.61597,76.98575
4.894894895,2.5971272,164.74983,48.768127,68.56075,77.15084
4.924924925,2.5915742,164.88356,49.162514,68.506584,77.31273
4.954954955,2.5861526,165.01485,49.55721,68.453445,77.471466
4.984984985,2.580859,165.14374,49.952206,68.40132,77.62712
5.015015015,2.5756896,165.27028,50.3475,68.35019,77.77975
5.045045045,2.570641,165.39452,50.743084,68.30003,77.929405
5.075075075,2.5657103,165.51648,51.138954,68.25083,78.07615
5.105105105,2.5608943,165.63623,51.535107,68.20257,78.22004
5.135135135,2.5561898,165.7538,51.931534,68.15523,78.36113
5.165165165,2.551594,165.86923,52.32823,68.108795,78.49947
5.195195195,2.547104,165.98256,52.725193,68.06325,78.635124
5.225225225,2.542717,166.09383,53.122414,68.01857,78.76813
5.255255255,2.5384305,166.20308,53.51989,67.974754,78.898544
5.285285285,2.5342414,166.31035,53.917618,67.93178,79.02642
5.315315315,2.5301478,166.41566,54.31559,67.88962,79.1518
5.345345345,2.526147,166.51907,54.713802,67.84827,79.27474
5.375375375,2.5222366,166.6206,55.11225,67.80771,79.39529
5.405405405,2.5184145,166.72029,55.510933,67.76793,79.51348
5.435435435,2.5146782,166.81818,55.909843,67.72891,79.62937
5.465465465,2.511026,166.91429,56.308975,67.69064,79.743004
5.495495495,2.507455,167.00867,56.70833,67.65311,79.85442
5.525525526,2.503964,167.10133,57.107895,67.616295,79.96367
